Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Fangskin	Fangskin	fangskin	12		17	6	0	4	4	1	0		14	14	14	Fangskin		Fangskin (N)		Fangskin (H)	Act 2 (H) Super B Desecrated	0
Beetleburst	Beetleburst	beetleburst	13		8	0	0	3	3	1	0	1	13	13	13	Beetleburst		Beetleburst (N)		Beetleburst (H)	Act 2 (H) Super B Desecrated	0
Leatherarm	Leatherarm	leatherarm	14		5	18	0	5	5	1	0		25	25	25	Leatherarm		Leatherarm (N)		Leatherarm (H)	Act 2 (H) Super A Desecrated	0
Coldworm the Burrower	Coldworm the Burrower	coldworm	15		18	8	0	0	0	0	0		13	13	13	Coldworm		Coldworm (N)		Coldworm (H)	Act 2 (H) Super B Desecrated	0
Fire Eye	Fire Eye	fireeye	16		9	6	0	3	3	1	0		12	12	12	Fire Eye		Fire Eye (N)		Fire Eye (H)	Act 2 (H) Super B Desecrated	0
Dark Elder	Dark Elder	darkelder	17		6	8	0	4	4	1	0	1	27	27	27	Dark Elder		Dark Elder (N)		Dark Elder (H)	Act 2 (H) Super B Desecrated	0
The Summoner	The Summoner	summoner	18		5	6	0	0	0	1	0		26	26	26	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Summoner (H)	Summoner (H) Desecrated A	0
Ancient Kaa the Soulless	Ancient Kaa the Soulless	unraveler3	19		25	5	17	3	3	1	0		11	11	11	Ancient Kaa		Ancient Kaa (N)		Ancient Kaa (H)	Act 2 (H) Super C Desecrated	0
The Smith	The Smith	smith	20	smith	5	0	0	0	0	1	0		26	26	26	Smith	Smith Desecrated A	Smith (N)	Smith (N) Desecrated A	Smith (H)	Smith (H) Desecrated A	0
Web Mage the Burning	Web Mage the Burning	webmage	21		5	7	0	5	5	1	0		19	19	19	Web Mage		Web Mage (N)		Web Mage (H)	Act 3 (H) Super A Desecrated	0
Witch Doctor Endugu	Witch Doctor Endugu	endugu	22		8	9	0	6	6	1	0		20	20	20	Witch Doctor		Witch Doctor (N)		Witch Doctor (H)	Act 3 (H) Super B Desecrated	0
Stormtree	Stormtree	stormtree	23		6	17	0	4	4	1	0	1	35	35	35	Stormtree		Stormtree (N)		Stormtree (H)	Act 3 (H) Super B Desecrated	0
Sarina the Battlemaid	Sarina the Battlemaid	battlemaid	24		6	27	0	9	9	1	0	1	36	36	36	Battlemaid		Battlemaid (N)		Battlemaid (H)	Act 3 (H) Super B Desecrated	0
Icehawk Riftwing	Icehawk Riftwing	icehawk	25		18	26	0	7	7	1	0		21	21	21	Icehawk		Icehawk (N)		Icehawk (H)	Act 3 (H) Super A Desecrated	0
Ismail Vilehand	Ismail Vilehand	ismal	26		6	7	0	2	2	1	0		36	36	36	Ismail	Council Desecrated A	Ismail (N)	Council (N) Desecrated A	Ismail (H)	Council (H) Desecrated A	0
Geleb Flamefinger	Geleb Flamefinger	geleb	27		5	9	0	2	2	1	0		37	37	37	Geleb	Council Desecrated A	Geleb (N)	Council (N) Desecrated A	Geleb (H)	Council (H) Desecrated A	0
Bremm Sparkfist	Bremm Sparkfist	bremm	28		30	17	0	2	2	1	0		22	22	22	Bremm	Council Desecrated A	Bremm (N)	Council (N) Desecrated A	Bremm (H)	Council (H) Desecrated A	0
Toorc Icefist	Toorc Icefist	toorc	29		18	28	0	0	0	1	0		23	23	23	Toorc	Council Desecrated A	Toorc (N)	Council (N) Desecrated A	Toorc (H)	Council (H) Desecrated A	0
Wyand Voidfinger	Wyand Voidfinger	wyland	30		25	26	0	0	0	1	0		38	38	38	Wyand	Council Desecrated A	Wyand (N)	Council (N) Desecrated A	Wyand (H)	Council (H) Desecrated A	0
Maffer Dragonhand	Maffer Dragonhand	maffer	31		5	6	0	0	0	1	0		23	23	23	Maffer	Council Desecrated A	Maffer (N)	Council (N) Desecrated A	Maffer (H)	Council (H) Desecrated A	0
Winged Death	Winged Death	wingeddeath	32		5	7	0	7	7	1	0		24	24	24	Winged Death		Winged Death (N)		Winged Death (H)	Act 4 (H) Super A Desecrated	0
The Tormentor	The Tormentor	tormentor	33		8	9	0	5	5	1	0		9	9	9	The Tormentor		The Tormentor (N)		The Tormentor (H)	Act 4 (H) Super A Desecrated	0
Taintbreeder	Taintbreeder	taintbreeder	34		6	0	0	6	6	1	0		10	10	10	Taintbreeder		Taintbreeder (N)		Taintbreeder (H)	Act 4 (H) Super A Desecrated	0
Riftwraith the Cannibal	Riftwraith the Cannibal	riftwraith	35		18	26	0	8	8	1	0		25	25	25	Riftwraith		Riftwraith (N)		Riftwraith (H)	Act 4 (H) Super A Desecrated	0
Infector of Souls	Infector of Souls	megademon3	36		6	27	0	9	9	1	0		26	26	26	Infector of Souls		Infector of Souls (N)		Infector of Souls (H)	Act 4 (H) Super B Desecrated	0
Lord De Seis	Lord De Seis	doomknight3	37		5	30	24	5	5	1	0		11	11	11	Lord De Seis		Lord De Seis (N)		Lord De Seis (H)	Act 4 (H) Super C Desecrated	0
Grand Vizier of Chaos	Grand Vizier of Chaos	fingermage3	38		5	9	0	9	9	1	0		26	26	26	Grand Vizier		Grand Vizier (N)		Grand Vizier (H)	Act 4 (H) Super B Desecrated	0
The Cow King	The Cow King	cowking	39		8	17	0	6	6	1	0		27	27	27	Cow King	Cow King Desecrated A	Cow King (N)	Cow King (N) Desecrated A	Cow King (H)	Cow King (H) Desecrated A	0
Corpsefire	Corpsefire	corpsefire	40		27	0	0	5	5	1	0		25	25	25	Corpsefire		Corpsefire (N)		Corpsefire (H)	Act 1 (H) Super A Desecrated	0
The Feature Creep	The Feature Creep	hephasto	41	smithdemon	27	30	0	0	0	1	0		20	20	20	Hephasto	Haphesto Desecrated A	Hephasto (N)	Haphesto (N) Desecrated A	Hephasto (H)	Haphesto (H) Desecrated A	0
Expansion																						0
Siege Boss	Siege Boss	shenk	42		5	0	0	0	0	0	1		7	7	7	Shenk		Shenk (N)		Shenk (H)	Act 5 (H) Super A Desecrated	0
Ancient Barbarian 1	Ancient Barbarian 1	ancientbarb1	43		0	0	0	0	0	0	1		25	25	25	Talic		Talic (N)		Talic (H)		0
Ancient Barbarian 2	Ancient Barbarian 2	ancientbarb2	44		0	0	0	0	0	0	1		26	26	26	Madawc		Madawc (N)		Madawc (H)		0
Ancient Barbarian 3	Ancient Barbarian 3	ancientbarb3	45		0	0	0	0	0	0	1		11	11	11	Korlic		Korlic (N)		Korlic (H)		0
Axe Dweller	Axe Dweller	axedweller	46		8	9	0	2	2	0	0		20	20	20	Axe Dweller		Axe Dweller (N)		Axe Dweller (H)	Act 5 (H) Super C Desecrated	0
Bonesaw Breaker	Bonesaw Breaker	bonesaw	47		5	8	0	5	5	0	0		35	35	35	Bonesaw		Bonesaw (N)		Bonesaw (H)	Act 5 (H) Super A Desecrated	0
Dac Farren	Dac Farren	dacfarren	48		18	0	0	4	4	0	0	1	36	36	36	Dac Farren		Dac Farren (N)		Dac Farren (H)	Act 5 (H) Super B Desecrated	0
Megaflow Rectifier	Megaflow Rectifier	eldrich	49		1	6	0	8	8	0	0	1	21	21	21	Eldritch		Eldritch (N)		Eldritch (H)	Act 5 (H) Super A Desecrated	0
Eyeback Unleashed	Eyeback Unleashed	eyeback	50		5	6	0	2	2	0	0		8	8	8	Eyeback		Eyeback (N)		Eyeback (H)	Act 5 (H) Super A Desecrated	0
Threash Socket	Threash Socket	thresh	51		7	0	0	0	0	0	0		37	37	37	Thresh Socket		Thresh Socket (N)		Thresh Socket (H)	Act 5 (H) Super Cx Desecrated	0
Pindleskin	Pindleskin	pindle	52		9	0	0	6	6	0	0		22	22	22	Pindleskin		Pindleskin (N)		Pindleskin (H)	Act 5 (H) Super Cx Desecrated	0
Snapchip Shatter	Snapchip Shatter	snapchip	53		7	18	0	4	4	0	0		23	23	23	Snapchip		Snapchip (N)		Snapchip (H)	Act 5 (H) Super C Desecrated	0
Anodized Elite	Anodized Elite	anodized	54		9	7	0	6	6	0	0		38	38	38	Anodized		Anodized (N)		Anodized (H)	Act 5 (H) Super C Desecrated	0
Vinvear Molech	Vinvear Molech	vinear	55		8	5	18	0	0	0	0		23	23	23	Vinvear		Vinvear (N)		Vinvear (H)	Act 5 (H) Super A Desecrated	0
Sharp Tooth Sayer	Sharp Tooth Sayer	sharptooth	56		6	0	0	3	3	0	0	1	24	24	24	Sharp Tooth		Sharp Tooth (N)		Sharp Tooth (H)	Act 5 (H) Super B Desecrated	0
Magma Torquer	Magma Torquer	magma	57		5	7	0	5	5	0	0		9	9	9	Magma Torquer		Magma Torquer (N)		Magma Torquer (H)	Act 5 (H) Super C Desecrated	0
Blaze Ripper	Blaze Ripper	blazeripper	58		17	6	0	4	4	0	0		10	10	10	Blaze Ripper		Blaze Ripper (N)		Blaze Ripper (H)	Act 5 (H) Super C Desecrated	0
Frozenstein	Frozenstein	frozenstein	59		18	25	0	5	6	0	0		19	19	19	Frozenstein		Frozenstein (N)		Frozenstein (H)	Act 5 (H) Super C Desecrated	0
Nihlathak Boss	Nihlathak	nihlathakboss	60		0	0	0	0	0	0	1		28	28	28	Nihlathak	Nihlathak Desecrated	Nihlathak (N)	Nihlathak (N) Desecrated	Nihlathak (H)	Nihlathak (H) Desecrated	0
Baal Subject 1	Baal Subject 1	fallenshaman5	61		9	0	0	5	5	0	1		29	29	29	Colenzo		Colenzo (N)		Colenzo (H)	Act 5 (H) Champ C Desecrated	0
Baal Subject 2	Baal Subject 2	unraveler5	62		23	0	0	3	3	0	1		21	21	21	Achmel		Achmel (N)		Achmel (H)	Act 5 (H) Champ C Desecrated	0
Baal Subject 3	Baal Subject 3	baalhighpriest	63		17	0	0	5	5	0	1		36	36	36	Bartuc		Bartuc (N)		Bartuc (H)	Act 5 (H) Champ C Desecrated	0
Baal Subject 4	Baal Subject 4	venomlord	64		6	0	0	8	8	0	1		20	20	20	Ventar		Ventar (N)		Ventar (H)	Act 5 (H) Champ C Desecrated	0
Baal Subject 5	Baal Subject 5	baalminion1	65		27	0	0	5	5	0	1		20	20	20	Lister		Lister (N)		Lister (H)	Act 5 (H) Champ C Desecrated	0
